ir,red
117910,102608
117931,102610
117988,102650
118066,102723
118123,102731
118199,102725
118199,102683
118295,102738
118383,102849
118406,102846
118514,102866
118543,102860
118642,102936
118786,103005
119106,103112
119149,103113
119152,103105
119104,103085
119217,103113
119243,103167
119265,103175
119234,103154
119169,103092
119206,103147
119244,103153
119226,103160
119195,103118
119142,103085
119129,103115
119126,103101
119085,103088
119066,103065
118960,103024
118998,103063
118965,103056
118973,103052
118924,103000
118871,102957
118876,103012
118900,103027
118870,103015
118850,102981
118809,102936
118864,102991
118889,103022
118907,102988
118902,102993
118857,102956
118936,103018
118995,103070
118999,103076
119005,103054
118997,103029
119053,103076
119095,103108
119161,103116
119163,103115
119149,103092
119208,103121
119284,103164
119315,103151
119279,103142
119318,103148
119383,103200
119429,103235
119456,103210
119483,103235
119455,103208
119561,103289
119573,103302
119637,103306
119636,103285
119621,103282
119686,103340
119767,103354
119759,103365
119771,103362
119757,103338
119843,103404
119896,103438
119905,103397
119905,103392
119912,103402
119980,103459
120006,103455
120044,103480
120006,103446
120068,103457
120138,103513
120178,103523
120172,103519
120195,103507
120171,103479
120292,103561
120310,103565
120293,103575
120319,103567
120335,103566
120391,103596
120451,103615
120457,103624
120444,103621
120463,103629
120567,103664
120576,103676
120598,103691
120601,103656
120611,103655
120689,103723
120742,103756
120724,103740
120714,103717
120721,103741
120817,103769
120795,103777
120816,103726
120740,103690
120702,103716
120684,103710
120532,103678
120354,103567
120064,103434
119766,103311
119457,103191
119128,103023
118782,102905
118415,102742
118109,102607
117869,102541
117618,102465
117376,102360
117239,102259
117089,102240
117030,102248
116939,102197
116821,102153
116784,102123
116713,102095
116751,102095
116722,102105
116670,102098
116669,102079
116692,102085
116754,102142
116810,102152
116792,102125
116791,102093
116866,102176
116928,102200
116992,102228
117041,102191
117039,102222
117125,102270
117241,102317
117263,102332
117373,102367
117361,102367
117468,102411
117552,102436
117590,102449
117662,102506
117674,102473
117762,102484
117851,102574
117873,102585
117902,102581
117926,102532
118000,102597
118086,102663
118114,102642
118207,102706
118227,102640
118304,102705
118400,102800
118450,102794
118528,102810
118512,102839
118648,102895
118739,102940
118815,102964
118864,102958
118843,102942
118974,103005
119007,103049
119046,103037
119061,103043
119002,103005
119054,103028
119119,103067
119121,103031
119088,103029
119012,102994
119063,103030
119057,103055
119035,103038
118982,103016
118927,102948
118944,102972
118934,103001
118908,102995
118803,102937
118795,102918
118817,102935
118803,102952
118803,102948
118774,102911
118688,102863
118754,102890
118799,102913
118754,102904
118783,102915
118729,102838
118800,102907
118836,102979
118853,102966
118838,102931
118865,102909
118936,102976
118977,103021
118995,103018
119021,102987
118989,103005
119059,103036
119105,103056
119172,103073
119166,103080
119142,103082
119226,103122
119323,103153
119355,103161
119366,103132
119328,103123
119429,103182
119478,103216
119533,103211
119529,103234
119535,103192
119647,103295
119674,103264
119739,103321
119738,103285
119721,103268
119772,103343
119829,103380
119884,103357
119865,103322
119913,103342
119936,103408
120016,103384
120019,103392
120006,103411
120030,103405
120099,103475
120161,103505
120165,103473
120118,103456
120160,103493
120214,103528
120284,103516
120275,103501
120244,103509
120294,103503
120353,103574
120402,103597
120417,103598
120355,103579
120412,103552
120449,103603
120521,103655
120482,103618
120464,103599
120517,103623
120594,103654
120559,103681
120626,103677
120586,103640
120596,103651
120667,103705
120723,103715
120693,103709
120704,103679
120701,103699
120770,103747
120807,103774
120836,103717
120783,103714
120769,103760
120796,103744
120783,103745
120720,103679
120486,103598
120284,103526
120086,103439
119744,103283
119403,103139
118992,102930
118670,102773
118351,102680
117977,102551
117715,102470
117417,102320
117256,102272
117148,102256
117055,102219
116945,102126
116751,102077
116721,102049
116730,102082
116668,102054
116624,102070
116537,101954
116548,101990
116599,102024
116561,102042
116579,102042
116593,101990
116616,102013
116708,102076
116700,102104
116746,102061
116765,102089
116839,102112
116933,102193
116970,102191
117025,102175
117035,102204
117115,102261
117250,102294
117257,102332
117325,102316
117353,102322
117403,102373
117526,102421
117521,102457
117583,102447
117602,102427
117694,102488
117748,102510
117818,102517
117864,102554
117842,102491
117927,102571
118011,102625
118101,102668
118121,102664
118144,102613
118208,102696
118361,102742
118442,102788
118464,102792
118495,102764
118584,102822
118677,102886
118739,102888
118720,102891
118747,102873
118828,102920
118871,102971
118863,102956
118828,102918
118819,102874
118840,102909
118860,102941
118854,102939
118798,102866
118719,102859
118747,102877
118734,102902
118713,102876
118701,102854
118612,102806
118662,102837
118630,102858
118585,102798
118580,102778
118501,102760
118577,102804
118572,102805
118553,102828
118510,102803
118540,102779
118579,102813
118616,102862
118578,102851
118548,102821
118577,102816
118663,102866
118698,102894
118742,102870
118711,102867
118703,102851
118799,102914
118830,102968
118808,102970
118826,102945
118877,102907
118953,102992
118998,103011
119049,103029
119045,102964
119045,102990
119170,103055
119182,103092
119206,103078
119254,103083
119232,103058
119343,103159
119388,103166
119422,103181
119399,103165
119444,103161
119529,103217
119554,103239
119597,103249
119606,103239
119610,103203
119689,103283
119706,103295
119748,103312
119728,103253
119759,103309
119829,103346
119868,103374
119877,103356
119857,103334
119890,103350
119942,103417
119995,103420
119991,103408
119992,103372
120002,103409
120111,103467
120140,103477
120141,103455
120132,103446
120137,103440
120206,103491
120247,103530
120264,103485
120235,103495
120253,103490
120346,103548
120383,103559
